essay_id,para_id,para_types,para_text,adu_spans,ac_spans,ai_spans,AC_types,AR_pairs,AR_types
4,23,body,"<para-body> Concerning that <AC> elementary education , like the base of a architecture , is the fundamental requirement to be a qualified citizen in today ' s society </AC> , <AC> government should guarantee that all people have equal and convenient access to it </AC> . So <AC> a lack of well - established primary education goes hand in hand with a high rate of illiteracy , and this interplay seriously compromises a country ' s future development </AC> . In other words , <AC> if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education </AC> . </para-body>","[(1, 28), (29, 44), (46, 78), (80, 119)]","[(3, 28), (30, 44), (47, 78), (84, 119)]","[(1, 2), (29, 29), (46, 46), (80, 83)]","['Premise', 'Premise', 'Premise', 'Claim']","[(3, 0), (3, 1), (3, 2)]","['Support', 'Support', 'Support']"
4,24,body,"<para-body> That ' s not enough , <AC> for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance </AC> . <AC> The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community </AC> . <AC> Some may argue that universities can support themselve well by donation or invention </AC> , but <AC> this argument is invalid </AC> . <AC> Researches into humanities and art still need large amount of money </AC> , what ' s more , <AC> government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide </AC> . </para-body>","[(1, 34), (35, 63), (64, 79), (80, 87), (88, 101), (102, 132)]","[(7, 34), (36, 63), (65, 79), (82, 87), (89, 101), (108, 132)]","[(1, 6), (35, 35), (64, 64), (80, 81), (88, 88), (102, 107)]","['Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[(5, 0), (5, 1), (5, 2), (2, 3), (5, 4)]","['Support', 'Support', 'Attack', 'Attack', 'Support']"
4,25,conclusion,"<para-conclusion> From reasons listed above , we can safely draw the conclusion that , <AC> a government should spare effort on young children education as well as universities </AC> , <AC> both are crucial on the way to a brighter future </AC> . </para-conclusion>","[(1, 28), (29, 41)]","[(14, 28), (30, 41)]","[(1, 13), (29, 29)]","['MajorClaim', 'Claim']",[],[]
5,26,prompt,<prompt> Roommates quality and their importance </prompt>,[],[],[],[],[],[]
5,27,intro,"<para-intro> Much has been said about the importance about good roommates and how roommates will affect our life in school . Research showed that friends that we made in university are more likely to be life time friends and this especially applicable to roommate . In my personal opinion , <AC> the most important quality of roommates is being considered </AC> . In the meantime , <AC> communication is also another essential particularity of a good roommate </AC> . </para-intro>","[(45, 60), (62, 77)]","[(50, 60), (66, 77)]","[(45, 49), (62, 65)]","['MajorClaim', 'MajorClaim']",[],[]
5,28,body,"<para-body> <AC> Consideration is always important in relationship </AC> . For example , <AC> roommate turns down the music or television volume at night time </AC> . <AC> Sometimes we will not know what we have done until we have a taste of our own medicine </AC> . <AC> At all times , think about the other ' s feeling before doing any self - centered action would help to improve the roommate relationship tremendously </AC> . Therefore , <AC> having a considered roommate is significantly imperative to our school life </AC> . <AC> It will not only prevent conflicts but also to have a friend or even a family member </AC> . </para-body>","[(0, 8), (10, 25), (26, 46), (47, 75), (77, 91), (92, 111)]","[(1, 8), (13, 25), (27, 46), (48, 75), (79, 91), (93, 111)]","[(0, 0), (10, 12), (26, 26), (47, 47), (77, 78), (92, 92)]","['Premise', 'Premise', 'Premise', 'Premise', 'Claim', 'Premise']","[(4, 0), (0, 1), (4, 2), (4, 3), (4, 5)]","['Support', 'Support', 'Support', 'Support', 'Support']"
5,29,body,"<para-body> Moreover , <AC> communication is as well making a good roommate </AC> . <AC> People have different habit in daily life , such as tidy the blanket in the morning </AC> . <AC> One might think this is a piece of cake while other would consider it as immense project </AC> . <AC> If one requested to move out just because his roommate do not tidy up the blanket in the morning might be crying over split milk </AC> . Therefore , <AC> communication is very important </AC> as <AC> it would clear up the misinterpretation </AC> . <AC> Through communication , bonded are build and we could have better understanding of each others </AC> . </para-body>","[(1, 12), (13, 31), (32, 51), (52, 79), (81, 88), (89, 97), (98, 115)]","[(3, 12), (14, 31), (33, 51), (53, 79), (83, 88), (90, 97), (99, 115)]","[(1, 2), (13, 13), (32, 32), (52, 52), (81, 82), (89, 89), (98, 98)]","['Premise', 'Premise', 'Premise', 'Premise', 'Claim', 'Premise', 'Premise']","[(4, 0), (4, 1), (4, 2), (4, 3), (4, 5), (4, 6)]","['Support', 'Support', 'Support', 'Support', 'Support', 'Support']"
5,30,conclusion,"<para-conclusion> In conclusion , there are many valuable factors about roommate that are important . <AC> Consideration and communication , in my personal opinion , are the most important quality </AC> . However , people might not get what they want all the time . The sky is the limit ; there are all kinds of personality out there . We need to be flexible to be account into society . </para-conclusion>","[(14, 30)]","[(15, 30)]","[(14, 14)]",['MajorClaim'],[],[]
6,31,prompt,<prompt> Should governments spend more money on improving roads and highways </prompt>,[],[],[],[],[],[]
6,32,intro,"<para-intro> Nowadays transportation has attracted much social concern . Whether governments should invest more money in traffic infrastructure or focus more on developing public transportation has erupted endless controversy . It does not seem unreasonable to suggest that <AC> governments spend more money on buses , trains , and subways investment </AC> . <AC> Such public vehicles are used to serve a large number of people in society </AC> therefore <AC> they help alleviate traffic congestion and decrease the amount of carbon released into the air </AC> . Both these two things are important . </para-intro>","[(30, 51), (52, 68), (69, 86)]","[(38, 51), (53, 68), (70, 86)]","[(30, 37), (52, 52), (69, 69)]","['MajorClaim', 'Premise', 'Claim']","[(2, 1)]",['Support']
6,33,body,"<para-body> First and foremost , <AC> carbon emission cut is significantly essential for protecting the atmosphere </AC> . The fact is that <AC> the more cars and motorbikes are on roads , the more seriously the ozone layer is damaged </AC> . <AC> If governments use more money to improve roads , there is a strong likelihood that more people drive their private cars work </AC> . <AC> This is sure to lead to more carbon emitted into the atmosphere , which can cause skin cancer and destroy the natural environment </AC> . Whereas , <AC> if there are more good buses , trains , or subways , people are inclined to use less private vehicles , which decreases the amount of carbon released </AC> . Obviously , <AC> the policy that concentrates money on developing public transportation brings an advantageous impact on earth </AC> . </para-body>","[(1, 16), (18, 40), (41, 65), (66, 91), (93, 124), (126, 144)]","[(5, 16), (22, 40), (42, 65), (67, 91), (95, 124), (128, 144)]","[(1, 4), (18, 21), (41, 41), (66, 66), (93, 94), (126, 127)]","['Premise', 'Premise', 'Premise', 'Claim', 'Premise', 'Claim']","[(3, 0), (3, 1), (3, 2), (5, 4)]","['Support', 'Support', 'Support', 'Support']"
6,34,body,"<para-body> In addition , <AC> the policy would play a pivotal part in relieving traffic jam </AC> . <AC> It is quiet clear that traffic congestion is a serious problem in many big cities </AC> . The main reason for this issue is that <AC> there are a great number of vehicles flowing on roads </AC> . In order to tackle the problem , <AC> governments have to turn people ' attention on public vehicles to reduce cars and motorbikes </AC> . <AC> There is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion </AC> . </para-body>","[(1, 16), (17, 34), (36, 55), (57, 80), (81, 103)]","[(4, 16), (18, 34), (44, 55), (64, 80), (82, 103)]","[(1, 3), (17, 17), (36, 43), (57, 63), (81, 81)]","['Premise', 'Premise', 'Premise', 'Claim', 'Premise']","[(3, 0), (3, 1), (3, 2), (3, 4)]","['Support', 'Support', 'Support', 'Support']"
6,35,conclusion,"<para-conclusion> In conclusion , I would concede that <AC> high - quality roads and highways make it easier to move around </AC> . Nevertheless , <AC> public transportation systems even have more important advantages </AC> . <AC> They not only ease traffic jam but also protect the atmosphere </AC> . That is why many governments around the world invest more money on developing public transportation facilities . </para-conclusion>","[(1, 21), (23, 34), (35, 48)]","[(8, 21), (25, 34), (36, 48)]","[(1, 7), (23, 24), (35, 35)]","['Claim', 'MajorClaim', 'Claim']",[],[]
7,36,prompt,<prompt> Physical exercise </prompt>,[],[],[],[],[],[]
7,37,intro,"<para-intro> Although some people think that the major part of school schedule should be entirely devoted to academics , I truly believe that <AC> the physical education part should not be outweighed </AC> . <AC> Physical exercises help to create healthy nation , assist to learning through direct observation and finally aid to financial development of a country </AC> . </para-intro>","[(1, 32), (33, 58)]","[(23, 32), (34, 58)]","[(1, 22), (33, 33)]","['MajorClaim', 'Claim']",[],[]
7,38,body,"<para-body> First of all , the ancient Latin proverb says : "" Anima sana in corpore sano "", which means that <AC> healthy body is basis for healthy soul </AC> . <AC> There is a direct linkage between people ' s health and the frequency of doing physical exercises </AC> . <AC> The more we practice , the better we feel </AC> . Additionally , <AC> there is a fact that one can improve health conditions with everyday physical activity : gradually , step by step we change physical condition to better </AC> . So , <AC> if the entire nation , from their school ages begin going for sports and try doing that everyday , eventually it may help to build healthy nation </AC> . </para-body>","[(1, 29), (30, 49), (50, 61), (63, 92), (94, 124)]","[(21, 29), (31, 49), (51, 61), (65, 92), (96, 124)]","[(1, 20), (30, 30), (50, 50), (63, 64), (94, 95)]","['Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[(4, 0), (4, 1), (4, 2), (4, 3)]","['Support', 'Support', 'Support', 'Support']"
7,39,body,"<para-body> Besides , <AC> when we practice outdoors and indoors sports , many aspects are getting clearer </AC> . For example , <AC> when a person goes jogging everyday , eventually he can understand his own body through direct observation </AC> . Alike , <AC> the school basketball team gains more knowledge on how to succeed in some particular kind of throwing the ball into hoot practicing rather than learning theoretically </AC> . Furthermore , <AC> almost all natural science discoveries were made by direct observation , which is a part of physical education </AC> . </para-body>","[(1, 17), (19, 40), (42, 71), (73, 94)]","[(3, 17), (22, 40), (44, 71), (75, 94)]","[(1, 2), (19, 21), (42, 43), (73, 74)]","['Claim', 'Premise', 'Premise', 'Premise']","[(0, 1), (0, 2), (0, 3)]","['Support', 'Support', 'Support']"
7,40,body,"<para-body> Last , but not least , <AC> financial sustainability of a region mostly depends on how healthy the population is </AC> . For instance , <AC> the money invested into physical education program can save allocations into healthcare </AC> , since <AC> the nation is comparatively healthy </AC> . Along with that , <AC> physically healthy people can contribute more both into economical and social development </AC> . As a matter of fact , <AC> the better a person feels , the better his brain works </AC> . Therefore , <AC> putting physical activities in early steps of human development would finally lead to mentally healthy society </AC> . As hence <AC> it ends up with financially competitive country </AC> . </para-body>","[(1, 21), (23, 39), (40, 48), (50, 67), (69, 87), (89, 108), (110, 120)]","[(7, 21), (26, 39), (42, 48), (54, 67), (75, 87), (91, 108), (112, 120)]","[(1, 6), (23, 25), (40, 41), (50, 53), (69, 74), (89, 90), (110, 111)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise', 'Claim', 'Premise']","[(0, 1), (1, 2), (5, 3), (5, 4), (5, 6)]","['Support', 'Support', 'Support', 'Support', 'Support']"
7,41,conclusion,"<para-conclusion> In the conclusion , I would like to say that <AC> the more attention is withdrawn to a problem of physical education , the more influence we can get on academic success of students </AC> . </para-conclusion>","[(1, 35)]","[(11, 35)]","[(1, 10)]",['MajorClaim'],[],[]
8,42,prompt,<prompt> Technology inspires children ' s creativity instead of weakening it </prompt>,[],[],[],[],[],[]
8,43,intro,"<para-intro> Technology accelerates human ' s evolving pace . With advanced technology , many things that seemed impossible in the past , have become realities . For example , people in the past never dreamed of talking to anyone whenever they wanted or see someone overseas on a computer screen , both of these can be achieved with cellphone and internet . However , some people point that technology has made children less creative . I don ' t deny that <AC> technology may have some negative effects on children </AC> , but I think <AC> technology makes children even more creative </AC> . </para-intro>","[(75, 90), (91, 102)]","[(81, 90), (95, 102)]","[(75, 80), (91, 94)]","['Claim', 'MajorClaim']",[],[]
8,44,body,"<para-body> First , <AC> technology inspires children to create new things </AC> . <AC> Children are curious about everything around them </AC> , so <AC> when they come across a high - tech product like a cellphone , they will be obsessed with its mysterious functions and eager to know how it works </AC> . For example , <AC> Bill Gates was attracted by the original huge computer , then he did everything he could to understand how it worked </AC> . <AC> After he had figured out all the stuff , he then began to promote the computer </AC> . <AC> In the end , he successfully invented a computer that was easy to use and lightweight </AC> . Therefore , <AC> instead of interfering children ' s creativity , technology actually encourages children to learn and to create </AC> . </para-body>","[(1, 11), (12, 21), (22, 53), (55, 80), (81, 99), (100, 118), (120, 140)]","[(3, 11), (13, 21), (24, 53), (58, 80), (82, 99), (101, 118), (122, 140)]","[(1, 2), (12, 12), (22, 23), (55, 57), (81, 81), (100, 100), (120, 121)]","['Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[(6, 0), (2, 1), (6, 2), (6, 3), (6, 4), (6, 5)]","['Support', 'Support', 'Support', 'Support', 'Support', 'Support']"
8,45,body,"<para-body> Second , <AC> technology widen children ' s knowledge </AC> . <AC> In the past , children were only able to see things from one perspective </AC> . However , <AC> with highly advanced technology , children are able to get information from foreign countries and even communicate with foreign friends </AC> . Therefore , <AC> they will be able to learn about different cultures and different ways of thinking </AC> . <AC> Knowledge is the base of creativity </AC> . <AC> The diverse knowledge that children gained from different parts of the world , inspires children and encourage them to create new things </AC> . </para-body>","[(1, 10), (11, 27), (29, 52), (54, 71), (72, 80), (81, 105)]","[(3, 10), (12, 27), (31, 52), (56, 71), (73, 80), (82, 105)]","[(1, 2), (11, 11), (29, 30), (54, 55), (72, 72), (81, 81)]","['Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[(5, 0), (5, 1), (3, 2), (5, 3), (5, 4)]","['Support', 'Support', 'Support', 'Support', 'Support']"
8,46,conclusion,"<para-conclusion> Admittedly , <AC> technology may have negative effects on children </AC> . <AC> Technology has made life too easy for most children </AC> . <AC> In comfortable conditions , children may be satisfied with the world around them and refuse to make a change </AC> . Nonetheless , <AC> with the development of technology , increasingly more young people become obsessed with high - tech products </AC> . <AC> They kept researching new technology and became successful at a very young age </AC> . </para-conclusion>","[(1, 11), (12, 23), (24, 45), (47, 67), (68, 83)]","[(3, 11), (13, 23), (25, 45), (49, 67), (69, 83)]","[(1, 2), (12, 12), (24, 24), (47, 48), (68, 68)]","['Claim', 'Premise', 'Premise', 'Premise', 'MajorClaim']","[(0, 1), (0, 2), (0, 3)]","['Support', 'Support', 'Attack']"
9,47,prompt,<prompt> Lessons with teachers versus others sources </prompt>,[],[],[],[],[],[]
9,48,intro,"<para-intro> Over the last half century the change in the life of human beings has increased beyond our wildest expectations . There are countless new technological equipments flooding into our lives , such as the Internet , television and cell phone . They all enrich our daily lives . Now , many students learn from Internet after class and they find it quite helpful . </para-intro>",[],[],[],[],[],[]
9,49,body,"<para-body> Many people find that <AC> students at schools and universities still learn much more from lessons with teachers </AC> . They argue that <AC> teachers teach students how to write , read and calculate since they are in kindergarten </AC> . <AC> And when they are in primary school , teachers teach them more further knowledge , like writing skills and using computers </AC> . <AC> It is teachers that help them with obstacles in schooling </AC> . On the other hand , <AC> students gain most of the knowledge through teachers and learn what is right and wrong with the assistance of teachers </AC> . </para-body>","[(1, 19), (21, 40), (41, 64), (65, 77), (79, 105)]","[(5, 19), (24, 40), (42, 64), (66, 77), (84, 105)]","[(1, 4), (21, 23), (41, 41), (65, 65), (79, 83)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise']","[(0, 1), (0, 2), (0, 3), (0, 4)]","['Support', 'Support', 'Support', 'Support']"
9,50,body,"<para-body> Those who feel that <AC> students learn far more from other sources , such as the Internet and television </AC> , firmly believe that <AC> within this sources students learn lots of things which they can ' t learn in classes </AC> . <AC> They can only input some key words and google it , and then there are numberless articles and websites related to it </AC> . In this case , <AC> students learn things easily </AC> . Moreover , <AC> they contend that good television programs do teach students </AC> . For instance , <AC> Discovery Channel has many instructive episodes </AC> . <AC> Students have knowledge of others cultures , outer space etc </AC> . </para-body>","[(1, 20), (21, 42), (43, 67), (69, 78), (80, 92), (94, 104), (105, 117)]","[(5, 20), (25, 42), (44, 67), (73, 78), (82, 92), (97, 104), (106, 117)]","[(1, 4), (21, 24), (43, 43), (69, 72), (80, 81), (94, 96), (105, 105)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise']","[(0, 1), (0, 2), (2, 3), (0, 4), (4, 5), (4, 6)]","['Support', 'Support', 'Support', 'Support', 'Support', 'Support']"
9,51,conclusion,"<para-conclusion> Personally , I think that <AC> students learn far more from their teachers than from other source </AC> . Because not only do <AC> teachers teach us knowledge but also the skills to tell right from wrong </AC> . Just imagine : if a student can ' t even make out whether the source is reasonable or not , then how can he get the right information to help him to learn ? </para-conclusion>","[(1, 18), (20, 38)]","[(6, 18), (24, 38)]","[(1, 5), (20, 23)]","['MajorClaim', 'Claim']",[],[]
10,52,prompt,<prompt> Email and text messaging threats written language </prompt>,[],[],[],[],[],[]
10,53,intro,"<para-intro> The introduction of email and text messaging has brought about considerable changes in communication . With this situation , some people believe that <AC> they may be factors decreasing the position of written language </AC> . I am in favor of that idea because of their advantages and the fact we can see today about the use of these new means . </para-intro>","[(16, 35)]","[(24, 35)]","[(16, 23)]",['MajorClaim'],[],[]
